webpush;1001;TCP;HTTP Web Push
Unassigned;1001;UDP;Reserved
Unassigned;1008;UDP;Possibly used by Sun Solaris????
Unassigned;1009;UDP;Unassigned
surf;1010;TCP;surf
surf;1010;UDP;surf
exp1;1021;UDP;RFC3692-style Experiment 1
exp1;1021;UDP;RFC3692-style Experiment 1
exp1;1021;TCP;RFC3692-style Experiment 1
exp1;1021;UDP;RFC3692-style Experiment 1
exp2;1022;UDP;RFC3692-style Experiment 2
exp2;1022;UDP;RFC3692-style Experiment 2
exp2;1022;TCP;RFC3692-style Experiment 2
exp2;1022;UDP;RFC3692-style Experiment 2
Unassigned;1023;TCP;Reserved
Unassigned;1023;UDP;Reserved
Unassigned;1024;TCP;Reserved
Unassigned;1024;UDP;Reserved
blackjack;1025;TCP;network blackjack
blackjack;1025;UDP;network blackjack
cap;1026;TCP;Calendar Access Protocol
cap;1026;UDP;Calendar Access Protocol
Unassigned;1027;TCP;Reserved
6a44;1027;UDP;IPv6 Behind NAT44 CPEs
Unassigned;1028;UDP;Deprecated
solid-mux;1029;TCP;Solid Mux Server
solid-mux;1029;UDP;Solid Mux Server
Unassigned;1030;UDP;Reserved
Unassigned;1031;UDP;Reserved
Unassigned;1032;UDP;Reserved
netinfo-local;1033;TCP;local netinfo port
netinfo-local;1033;UDP;local netinfo port
activesync;1034;TCP;ActiveSync Notifications
activesync;1034;UDP;ActiveSync Notifications
mxxrlogin;1035;TCP;MX-XR RPC
mxxrlogin;1035;UDP;MX-XR RPC
nsstp;1036;TCP;Nebula Secure Segment Transfer Protocol
nsstp;1036;UDP;Nebula Secure Segment Transfer Protocol
ams;1037;TCP;AMS
ams;1037;UDP;AMS
mtqp;1038;TCP;Message Tracking Query Protocol
mtqp;1038;UDP;Message Tracking Query Protocol
sbl;1039;TCP;Streamlined Blackhole
sbl;1039;UDP;Streamlined Blackhole
netarx;1040;TCP;Netarx Netcare
netarx;1040;UDP;Netarx Netcare
danf-ak2;1041;TCP;AK2 Product
danf-ak2;1041;UDP;AK2 Product
afrog;1042;TCP;Subnet Roaming
afrog;1042;UDP;Subnet Roaming
boinc-client;1043;TCP;BOINC Client Control
boinc-client;1043;UDP;BOINC Client Control
dcutility;1044;TCP;Dev Consortium Utility
dcutility;1044;UDP;Dev Consortium Utility
fpitp;1045;TCP;Fingerprint Image Transfer Protocol
fpitp;1045;UDP;Fingerprint Image Transfer Protocol
wfremotertm;1046;TCP;WebFilter Remote Monitor
wfremotertm;1046;UDP;WebFilter Remote Monitor
neod1;1047;TCP;Sun's NEO Object Request Broker
neod1;1047;UDP;Sun's NEO Object Request Broker
neod2;1048;TCP;Sun's NEO Object Request Broker
neod2;1048;UDP;Sun's NEO Object Request Broker
td-postman;1049;TCP;Tobit David Postman VPMN
td-postman;1049;UDP;Tobit David Postman VPMN
cma;1050;TCP;CORBA Management Agent
cma;1050;UDP;CORBA Management Agent
optima-vnet;1051;TCP;Optima VNET
optima-vnet;1051;UDP;Optima VNET
ddt;1052;TCP;Dynamic DNS Tools
ddt;1052;UDP;Dynamic DNS Tools
remote-as;1053;TCP;Remote Assistant (RA)
remote-as;1053;UDP;Remote Assistant (RA)
brvread;1054;TCP;BRVREAD
brvread;1054;UDP;BRVREAD
ansyslmd;1055;TCP;ANSYS - License Manager
ansyslmd;1055;UDP;ANSYS - License Manager
vfo;1056;TCP;VFO
vfo;1056;UDP;VFO
startron;1057;TCP;STARTRON
startron;1057;UDP;STARTRON
nim;1058;TCP;nim
nim;1058;UDP;nim
nimreg;1059;TCP;nimreg
nimreg;1059;UDP;nimreg
polestar;1060;TCP;POLESTAR
polestar;1060;UDP;POLESTAR
kiosk;1061;TCP;KIOSK
kiosk;1061;UDP;KIOSK
veracity;1062;TCP;Veracity
veracity;1062;UDP;Veracity
kyoceranetdev;1063;TCP;KyoceraNetDev
kyoceranetdev;1063;UDP;KyoceraNetDev
jstel;1064;TCP;JSTEL
jstel;1064;UDP;JSTEL
syscomlan;1065;TCP;SYSCOMLAN
syscomlan;1065;UDP;SYSCOMLAN
fpo-fns;1066;TCP;FPO-FNS
fpo-fns;1066;UDP;FPO-FNS
instl-boots;1067;TCP;Installation Bootstrap Proto. Serv.
instl_boots;1067;TCP;Installation Bootstrap Proto. Serv.
instl-boots;1067;UDP;Installation Bootstrap Proto. Serv.
instl_boots;1067;UDP;Installation Bootstrap Proto. Serv.
instl-bootc;1068;TCP;Installation Bootstrap Proto. Cli.
instl_bootc;1068;TCP;Installation Bootstrap Proto. Cli.
instl-bootc;1068;UDP;Installation Bootstrap Proto. Cli.
instl_bootc;1068;UDP;Installation Bootstrap Proto. Cli.
cognex-insight;1069;TCP;COGNEX-INSIGHT
cognex-insight;1069;UDP;COGNEX-INSIGHT
gmrupdateserv;1070;TCP;GMRUpdateSERV
gmrupdateserv;1070;UDP;GMRUpdateSERV
bsquare-voip;1071;TCP;BSQUARE-VOIP
bsquare-voip;1071;UDP;BSQUARE-VOIP
cardax;1072;TCP;CARDAX
cardax;1072;UDP;CARDAX
bridgecontrol;1073;TCP;Bridge Control
bridgecontrol;1073;UDP;Bridge Control
warmspotMgmt;1074;TCP;Warmspot Management Protocol
warmspotMgmt;1074;UDP;Warmspot Management Protocol
